Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9009, 0.8428, 0.8974
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8977, 0.8367, 0.8940
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8824, 0.8148, 0.8831
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8910, 0.8107, 0.8858
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8867, 0.8057, 0.8807
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8750, 0.8030, 0.8703
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8707, 0.7979, 0.8719
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_logit_train_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8785, 0.7974, 0.8735
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8607, 0.7956, 0.8607
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8613, 0.7898, 0.8616
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8493, 0.7711, 0.8537
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8387, 0.7590, 0.8438
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8314, 0.7513, 0.8348
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8307, 0.7437, 0.8347
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8046, 0.7135, 0.8136
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7888, 0.7051, 0.7966
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_logit_both_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7830, 0.6954, 0.7957
qwen_dataset_dinov3_vits16_mlp256_mix0p1_balnorm_ls0p1_arcface_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.7364, 0.6487, 0.7495
