Comparison summary (accuracy + F1, FG-only excludes __bg_* classes)

label, encoder_model, acc, macro_f1_fg, weighted_f1_fg
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9044, 0.8422, 0.9014
qwen_dataset_dinov3_vitl16_mlp512_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9018, 0.8404, 0.8999
qwen_dataset_dinov3_vitl16_mlp1024_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9011, 0.8388, 0.8986
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.9010, 0.8374, 0.8990
qwen_dataset_dinov3_vitb16_mlp768_384_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8972, 0.8371, 0.8956
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8987, 0.8356, 0.8987
qwen_dataset_dinov3_vits16_mlp384_192_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8960, 0.8351, 0.8950
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8980, 0.8343, 0.8960
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8969, 0.8342, 0.8944
qwen_dataset_dinov3_vitl16_mlp768_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitl16-pretrain-lvd1689m, 0.8980, 0.8336, 0.8965
qwen_dataset_dinov3_vitb16_mlp512_256_mix0p1_balnorm_ls0_full_bg5, facebook/dinov3-vitb16-pretrain-lvd1689m, 0.8943, 0.8334, 0.8926
qwen_dataset_dinov3_vits16_mlp384_mix0p1_balnorm_ls0p1_effective_bg5, facebook/dinov3-vits16-pretrain-lvd1689m, 0.8925, 0.8323, 0.8932
